X;Y;G
0;5,449;1
0,5;-12,018;1
1;-25,728;1
1,5;-43,359;1
2;-56,63;1
2,5;-72,819;1
3;-78,305;1
3,5;-89,1;1
4;-99,942;1
4,5;-100,251;1
5;-95,817;1
5,5;-98,528;1
6;-105,062;1
6,5;-96,222;1
7;-100,416;1
7,5;-96,957;1
8;-93,337;1
8,5;-83,126;1
9;-76,427;1
9,5;-66,153;1
10;-56,382;1
10,5;-42,641;1
11;-29,374;1
11,5;-11,921;1
12;5,389;1
12,5;21,988;1
13;48,051;2
13,5;71,615;2
14;85,998;2
14,5;115,672;2
15;141,386;2
15,5;180,829;2
16;211,322;2
16,5;234,237;2
17;242,212;2
17,5;272,543;2
18;324,956;3
18,5;345,562;3
19;370,13;3
19,5;463,542;3
20;516,936;3
20,5;535,111;3
21;531,916;3
21,5;647,944;3
22;668,844;3
22,5;774,863;3
23;720,075;3
