X;Y;G
-1,18;1,17;1
0,72;1,2;1
0,09;1,08;1
-0,25;0,38;1
-0,74;-0,59;1
1,11;-0,96;1
-1,25;-0,9;1
1,26;-1,4;1
0,27;0,16;1
0,83;1,25;1
0,42;-0,75;1
-0,69;-1,33;1
0,53;-0,18;1
1,47;0,98;1
1,3;-0,53;1
0,77;1,37;1
0,18;0,4;1
1,31;0,25;1
0,18;1,06;1
0,8;-0,69;1
0,21;0,6;1
1,44;-0,59;1
-1,34;0,97;1
0,93;0,58;1
-0,32;1,29;1
-1,05;-0,03;1
-0,59;-0,06;1
0,67;-0,2;1
0,42;0,92;1
0,31;0,29;1
-5;0,48;2
-4,5;2,519449472;2
-4;2,85;2
-3,5;3,610714214;2
-3;4,24;2
-2,5;4,400127019;2
-2;4,182575695;2
-1,5;4,669696007;2
-1;5,318979486;2
-0,5;5,314937186;2
0;4,71;2
0,5;5,124937186;2
1;4,498979486;2
1,5;5,049696007;2
2;5,062575695;2
2,5;4,430127019;2
3;3,83;2
3,5;3,110714214;2
4;2,74;2
4,5;2,469449472;2
5;-0,3;2
-5;-0,29;2
-4,5;-2,649449472;2
-4;-3,17;2
-3,5;-3,930714214;2
-3;-3,79;2
-2,5;-4,600127019;2
-2;-4,892575695;2
-1,5;-5,099696007;2
-1;-5,128979486;2
-0,5;-4,934937186;2
0;-4,78;2
0,5;-4,564937186;2
1;-5,018979486;2
1,5;-4,499696007;2
2;-4,882575695;2
2,5;-4,160127019;2
3;-4,23;2
3,5;-3,400714214;2
4;-3,37;2
4,5;-1,879449472;2
5;0,38;2
-5;-0,33;2
-4,5;2,129449472;2
-4;3,46;2
-3,5;3,280714214;2
-3;4,32;2
-2,5;4,390127019;2
-2;4,722575695;2
-1,5;4,639696007;2
-1;4,758979486;2
-0,5;5,094937186;2
0;4,99;2
0,5;5,214937186;2
1;4,618979486;2
1,5;4,459696007;2
2;4,402575695;2
2,5;4,670127019;2
3;4,34;2
3,5;3,300714214;2
-8;0,14;3
-7,5;2,673882181;3
-7;4,292983346;3
-6,5;4,983689527;3
-6;5,041502622;3
-5,5;5,309475019;3
-5;6,344997998;3
-4,5;6,394378278;3
-4;6,80820323;3
-3,5;6,763747285;3
-3;7,706198487;3
-2,5;7,469342077;3
-2;7,835966692;3
-1,5;7,958116823;3
-1;7,837253933;3
-0,5;7,844359711;3
0;8,16;3
0,5;8,334359711;3
1;7,537253933;3
1,5;8,068116823;3
2;7,365966692;3
2,5;7,929342077;3
3;7,856198487;3
3,5;7,273747285;3
4;7,05820323;3
4,5;6,304378278;3
5;5,934997998;3
5,5;6,189475019;3
6;5,321502622;3
6,5;5,013689527;3
7;3,692983346;3
7,5;3,053882181;3
8;0,34;3
-8;-0,41;3
-7,5;-2,503882181;3
-7;-3,882983346;3
-6,5;-4,963689527;3
-6;-5,001502622;3
-5,5;-5,539475019;3
-5;-5,754997998;3
-4,5;-6,154378278;3
-4;-7,28820323;3
-3,5;-7,173747285;3
-3;-7,776198487;3
-2,5;-7,579342077;3
-2;-7,885966692;3
-1,5;-8,078116823;3
-1;-7,697253933;3
-0,5;-8,174359711;3
0;-7,57;3
0,5;-7,504359711;3
1;-8,397253933;3
1,5;-7,558116823;3
2;-7,535966692;3
2,5;-7,479342077;3
3;-7,916198487;3
3,5;-6,703747285;3
4;-7,20820323;3
4,5;-6,834378278;3
5;-6,634997998;3
5,5;-6,069475019;3
6;-5,261502622;3
6,5;-4,193689527;3
7;-4,092983346;3
7,5;-3,023882181;3
8;-0,26;3
