X;Y;G
-0,286808017;-1,530332136;1
-0,511254719;-1,515578146;1
-0,801043678;-1,351672611;1
-0,917763802;-1,469836616;1
-1,062847745;-1,291514914;1
-1,300239301;-1,185665297;1
-1,459615351;-1,302905282;1
-1,57494121;-1,332401513;1
-2,233631024;-0,885500527;1
-1,682865266;-1,264460677;1
-1,908394115;-0,825084816;1
-2,027710229;-0,641345929;1
-2,175693244;-0,620375439;1
-1,966108751;-0,161376429;1
-1,956253289;-0,099132676;1
-1,668207188;0,056645601;1
-2,094368415;-0,280864194;1
-1,718319827;0,285747159;1
-1,60160838;-0,204499575;1
-1,232330555;0,311882519;1
-0,897042834;1,061358688;1
-0,442298071;0,594918757;1
-0,919826397;0,870760115;1
-0,506752485;1,053316569;1
-0,175586462;0,409604304;1
0,259269141;2,023469069;2
0,507580262;1,934696104;2
0,908012158;2,080281915;2
1,009933219;1,902683277;2
1,165638957;1,974066115;2
1,433557937;1,676249141;2
1,595782588;1,834805516;2
1,726271399;1,53480434;2
1,655736759;1,426059478;2
1,954143519;1,319829519;2
1,946579831;1,28765325;2
1,829996513;1,20609588;2
2,223452716;1,317194976;2
1,692612284;0,705261452;2
1,717393213;0,906429065;2
1,530853645;0,683445326;2
2,108681487;0,552331363;2
1,235290946;1,056630635;2
1,310598985;0,498347378;2
0,720410209;0,231602416;2
1,440395559;0,020080556;2
0,453077089;0,014505308;2
0,576746366;-0,811196787;2
0,528012016;0,461447185;2
-0,03299777;-1,450685008;2
